optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_restart_budget,param_pop_increase_factor
maes,budget_reset,bbob_f013_i71_d02,2,696.2667541982889,30001,1,0.625,10000,2
maes,budget_reset,bbob_f013_i72_d02,2,-707.2845390332402,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f013_i73_d02,2,24.068758710237056,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f013_i74_d02,2,528.9175914459763,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f013_i75_d02,2,41.7535942326059,30001,1,0.625,10000,2
maes,budget_reset,bbob_f013_i76_d02,2,896.8665185702663,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f013_i77_d02,2,819.6193988582656,30001,1,0.625,10000,2
maes,budget_reset,bbob_f013_i78_d02,2,479.19883273220455,30001,1,0.625,10000,2
maes,budget_reset,bbob_f013_i79_d02,2,-30.160432140533345,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f013_i80_d02,2,132.9756044203917,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f014_i01_d02,2,-51.570996802525265,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i02_d02,2,-168.11280553622845,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i03_d02,2,79.63836720743171,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f014_i04_d02,2,40.98923603015635,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f014_i05_d02,2,-26.96394351396474,30001,1,0.609375,10000,2
maes,budget_reset,bbob_f014_i71_d02,2,35.010104481871,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i72_d02,2,101.3774735475624,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i73_d02,2,430.14442018593553,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i74_d02,2,8.53740249314768,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i75_d02,2,-125.04793881233991,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f014_i76_d02,2,-36.36335331038375,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i77_d02,2,177.95133769731217,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i78_d02,2,157.78723828714823,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i79_d02,2,85.10253490859965,30001,1,0.625,10000,2
maes,budget_reset,bbob_f014_i80_d02,2,-82.88468704078133,30001,1,0.625,10000,2
maes,budget_reset,bbob_f015_i01_d02,2,1013.4807112239251,30001,1,0.625,10000,2
maes,budget_reset,bbob_f015_i02_d02,2,116.2737849981716,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i03_d02,2,-42.31383685342532,30001,1,0.671875,10000,2
maes,budget_reset,bbob_f015_i04_d02,2,35.677824371974985,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i05_d02,2,-82.33118847006376,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i71_d02,2,-344.68691909968334,30001,1,0.671875,10000,2
maes,budget_reset,bbob_f015_i72_d02,2,93.24036554853289,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i73_d02,2,-8.560313874286365,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i74_d02,2,-720.0301496177866,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i75_d02,2,-59.8359302726046,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f015_i76_d02,2,-158.43382938690718,30001,1,0.671875,10000,2
maes,budget_reset,bbob_f015_i77_d02,2,19.401454402553746,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f015_i78_d02,2,221.6792976086471,30001,1,0.640625,10000,2
maes,budget_reset,bbob_f015_i79_d02,2,-345.4829127772787,30001,1,0.671875,10000,2
maes,budget_reset,bbob_f015_i80_d02,2,218.827847962884,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f016_i01_d02,2,71.42110416354286,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f016_i02_d02,2,-352.36105032904277,30001,1,0.65625,10000,2
maes,budget_reset,bbob_f016_i03_d02,2,101.06668830844005,30001,1,0.640625,10000,2
