optimizer,wrapper,problem_id,dimension,best_fitness,evaluations,sweep,time_one_iteration,param_evaluation_window,param_improvement_threshold,param_pop_increase_factor
maes,threshold_reset,bbob_f010_i73_d02,2,990881.3370685235,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f010_i74_d02,2,1453.756692715583,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f010_i75_d02,2,42555.629593703445,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f010_i76_d02,2,5076049.580262415,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f010_i77_d02,2,320981.9536097216,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f010_i78_d02,2,1340.0821602406884,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f010_i79_d02,2,1668563.892912249,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f010_i80_d02,2,33751.857370984246,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f011_i01_d02,2,260.0535205282144,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i02_d02,2,51764228.27565672,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i03_d02,2,247633.1071393896,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i04_d02,2,3461130.713547346,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i05_d02,2,503805.582432814,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i71_d02,2,5616260.432853745,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f011_i72_d02,2,4599773.279192212,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i73_d02,2,21695819.02697462,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i74_d02,2,101.58787818365224,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i75_d02,2,4218689.346252488,30001,1,0.6875,10,1e-06,2
maes,threshold_reset,bbob_f011_i76_d02,2,inf,30001,1,0.671875,10,1e-06,2
maes,threshold_reset,bbob_f011_i77_d02,2,-294.47302046093216,30001,1,0.703125,10,1e-06,2
maes,threshold_reset,bbob_f011_i78_d02,2,78243367.5888357,30001,1,0.6875,10,1e-06,2
